feat_set,patient,rf_rmse,rf_mae,lstm_rmse,lstm_mae
glucose_only,540,39.50364164456101,21.71696096038857,26.704730987548828,18.140148162841797
glucose_only,544,18.598213341399408,13.372878526553988,18.66598892211914,13.598042488098145
glucose_only,552,19.120015978450994,14.32362034249305,17.20204734802246,12.438780784606934
glucose_only,567,26.201102637379165,17.367185602733088,25.829147338867188,17.42180633544922
glucose_only,584,27.56359261020686,18.365808797163485,27.18010711669922,17.470735549926758
glucose_only,596,19.054892649635907,13.54119571737022,18.145362854003906,12.57984447479248
clinical,540,39.49316341815472,21.714455285862186,25.612199783325195,17.498882293701172
clinical,544,18.595268416449972,13.368073932663389,18.45816421508789,13.290281295776367
clinical,552,19.13541812982301,14.325297303876575,17.50703239440918,12.589577674865723
clinical,567,26.20228358672782,17.368698882197897,25.843671798706055,17.641298294067383
clinical,584,27.564272126436016,18.365988867556013,27.005084991455078,17.242565155029297
clinical,596,19.033337512424474,13.531392882645491,17.833377838134766,12.415071487426758
clinical_accel,540,40.81711277021592,26.520053680263757,35.753204345703125,23.938159942626953
clinical_accel,544,24.949888086850045,17.542586581226765,22.317251205444336,15.154273986816406
clinical_accel,552,24.411718275798282,17.37927160558709,24.643043518066406,18.372318267822266
clinical_accel,567,33.948461716022926,21.66018529500777,32.39201736450195,21.203197479248047
clinical_accel,584,30.892363602725915,20.264630469891284,30.7662353515625,19.19405174255371
clinical_accel,596,28.29817024362168,21.41002742793366,27.243698120117188,19.969987869262695
glucose_accel,540,40.84158705658513,26.544356762546094,36.93389892578125,24.1363525390625
glucose_accel,544,24.93626423655708,17.532144960581938,22.158695220947266,15.166634559631348
glucose_accel,552,24.50884809811137,17.399327950258428,24.02145004272461,17.580123901367188
glucose_accel,567,33.960935751152064,21.669663555421575,32.88372039794922,21.317506790161133
glucose_accel,584,30.907018452656377,20.266249534723805,30.7016544342041,19.243967056274414
glucose_accel,596,28.283692320676543,21.40801389505057,27.170299530029297,19.92535400390625
