feat_set,patient,rf_rmse,rf_mae,lstm_rmse,lstm_mae
glucose_only,559,23.706353335057024,16.13369115243307,23.139114379882812,15.267107963562012
glucose_only,570,18.644830023603806,13.136172128848402,17.06218910217285,11.920446395874023
glucose_only,588,20.360932662142,14.707901163284433,19.51473045349121,14.588844299316406
glucose_only,591,22.71866621002676,16.57128439755201,22.462539672851562,16.46294593811035
clinical,559,23.643045874179112,16.05178851888446,22.64690399169922,14.897716522216797
clinical,570,18.645309226785546,13.134627249320992,17.14580726623535,12.08335018157959
clinical,588,20.317338662633823,14.68739457439421,18.639434814453125,13.818076133728027
clinical,591,22.714194900821166,16.582739483938568,22.45722198486328,16.64011573791504
full,559,22.50326625569406,15.232417762979509,20.497228622436523,12.283590316772461
full,570,35.441868826964566,26.60066627907837,39.54329299926758,32.482601165771484
full,588,49.709197294793384,37.01634286567572,60.281917572021484,43.592140197753906
full,591,22.793455406380676,17.281655256968172,21.143186569213867,15.49769115447998
glucose_hr,559,28.003435528610297,20.43004842579185,28.21492576599121,19.87117576599121
glucose_hr,570,25.691898041470385,19.068836476288663,27.99648666381836,19.19625473022461
glucose_hr,588,23.042666601505005,17.266498478571297,21.64633560180664,16.23830223083496
glucose_hr,591,22.614163610991113,16.120510837053917,21.792613983154297,15.35262393951416
glucose_steps,559,28.597075833964688,17.732551382342223,27.317895889282227,14.351400375366211
glucose_steps,570,27.58334641166251,21.417570457244285,21.620929718017578,16.352142333984375
glucose_steps,588,18.973290652352862,13.501192529824309,16.009061813354492,11.175509452819824
glucose_steps,591,20.953378309480957,15.965983976187884,20.520124435424805,15.720972061157227
clinical_hr,559,27.97267150879932,20.410580217048167,27.181039810180664,17.429845809936523
clinical_hr,570,25.63094373142033,19.05859527994296,24.112098693847656,16.127185821533203
clinical_hr,588,23.099680761460064,17.29713547434149,21.320363998413086,16.14408302307129
clinical_hr,591,22.598689447921007,16.0980547514568,21.806726455688477,15.399033546447754
clinical_steps,559,28.59719367379953,17.75696010532304,27.00495719909668,14.392087936401367
clinical_steps,570,27.590971840405828,21.36509299530146,20.86212921142578,15.69037914276123
clinical_steps,588,18.9738926591951,13.494844304847707,16.33660125732422,11.668694496154785
clinical_steps,591,20.955273152084928,15.950309928570995,20.765520095825195,15.932831764221191
wearable,559,22.516415091786183,15.268180405390089,20.06964874267578,12.510247230529785
wearable,570,35.49774650347027,26.71005794912025,38.609920501708984,31.343889236450195
wearable,588,50.13060877330597,37.30938792432665,55.17055892944336,40.9552116394043
wearable,591,22.80323239018018,17.29248233992746,21.164127349853516,15.104623794555664
